"editor-manager 标签属性 container-id 不能为空！","editor-manager 标签属性 container-id 不能为空！"
"配置的编辑器管理器不存在! 编辑器管理器名：%{1}","配置的编辑器管理器不存在! 编辑器管理器名：%{1}"
编辑器管理器,编辑器管理器
"mdi mdi-content-save-edit","mdi mdi-content-save-edit"
内容管理,内容管理
编辑器列表,编辑器列表
"mdi mdi-view-list","mdi mdi-view-list"
查看编辑器列表,查看编辑器列表
管理系统中可用的富文本编辑器。编辑器管理器允许您在不同的编辑器之间切换。,管理系统中可用的富文本编辑器。编辑器管理器允许您在不同的编辑器之间切换。
暂无已注册的编辑器管理器。,暂无已注册的编辑器管理器。
编辑器名称,编辑器名称
类名,类名
描述/状态,描述/状态
安装更多编辑器,安装更多编辑器
"您可以通过 Composer 安装额外的编辑器管理器模块：","您可以通过 Composer 安装额外的编辑器管理器模块："
"""editor-manager 标签属性 container-id 不能为空！""","editor-manager 标签属性 container-id 不能为空！"
